OPR,OPRH,GPR,GPRH,WCT,WCTH,OPT,OPTH,GPT,GPTH,WPT,WPTH,Date,BHP,GOR,PI,Temperature
1642.866333,1769.734985,1080854.5,325631.1875,0.144490927,0.210984975,2492801.75,734789.125,457471296,135201200,422560.0313,79858.15625,349,233.4347992,183.9999695,152.3365631,412.6135
1641.374146,1769.734985,1080387.25,325631.1875,0.145100996,0.210984975,2521954.25,743637.8125,462873216,136829360,427508,82224.32031,354,233.7359772,183.9999695,153.0120697,412.595
1640.024902,1769.734985,1079859,325631.1875,0.145781636,0.210984975,2551089.5,752486.4375,468272512,138457504,432480.2813,84590.48438,359,234.0191803,183.9999695,153.7921753,412.5765
1639.064209,1769.734985,1079422.125,325631.1875,0.146337911,0.210984975,2571474.75,758680.5,472050496,139597216,435974.7813,86246.79688,362.5,234.2097778,183.9999695,154.3622284,412.558
1638.106812,1769.734985,1078911.875,325631.1875,0.146979943,0.210984975,2591849,764874.625,475826688,140736928,439485.375,87903.10938,366,234.3929291,183.9999695,154.948822,412.5395
1608.331787,1711.31604,1607700.25,314882.0938,0.146171406,0.228207454,2600544.25,766585.9375,477434400,141051808,440973.9375,88409.11719,367,234.7674713,183.9999695,155.3095398,412.521
1607.266846,1711.31604,1607794.25,314882.0938,0.145137846,0.228207454,2626660.5,771719.875,482257760,141996464,445407.9375,89927.14844,370,235.0041504,183.9999695,155.9968567,412.5025
1606.033569,1711.31604,1600089.375,314882.0938,0.148012236,0.228207454,2670142.25,780276.4375,490258208,143570864,452961.875,92457.20313,375,235.2920074,183.9999695,157.0400238,412.484
1604.873047,1711.31604,1586524.5,314882.0938,0.1513969,0.228207454,2713631.75,788833,498190848,145145280,460720.7188,94987.25781,380,235.5344391,183.9999695,158.0644073,412.4655
1603.665649,1711.31604,1575513.375,314882.0938,0.155564293,0.228207454,2757055.25,797389.625,506068416,146719696,468720.2813,97517.30469,385,235.7429199,183.9999695,159.0848236,412.447
1602.516968,1711.31604,1563933.125,314882.0938,0.16085647,0.228207454,2800368,805946.1875,513888064,148294096,477023,100047.3594,390,235.9174042,183.9999695,160.1002502,412.4285
1601.56189,1711.31604,1559223.375,314882.0938,0.163960025,0.228207454,2830621.25,811935.8125,519345344,149396192,482956.0625,101818.3984,393.5,236.0240326,183.9999695,160.8150024,412.41
1600.453979,1711.31604,1555307,314882.0938,0.166392878,0.228207454,2860824.25,817925.375,524788928,150498272,488984.7813,103589.4297,397,236.1159668,183.9999695,161.5457611,412.3915
1557.412964,1654.102051,1321512.25,304354.8125,0.169134796,0.235783964,2868130,819579.5,526110432,150802624,490472,104099.7734,398,236.6031342,184.0000153,162.0456085,412.373
1555.977905,1654.102051,1320145.125,304354.8125,0.170891374,0.235783964,2890011.75,824541.8125,530070880,151715696,494982.0938,105630.7969,401,236.8181305,184.0000153,162.8199615,412.3545
1554.721069,1654.102051,1317887.375,304354.8125,0.17304422,0.235783964,2926419.5,832812.3125,536660320,153237472,502600.5938,108182.5,406,237.0316162,184.0000153,163.5702057,412.336
1553.927612,1654.102051,1315695.375,304354.8125,0.174714535,0.235783964,2962786,841082.8125,543238784,154759248,510299.5,110734.2031,411,237.1889038,184.0000153,164.4219513,412.3175
1553.139648,1654.102051,1312173.875,304354.8125,0.176647127,0.235783964,2999123,849353.3125,549799680,156281008,518095.4375,113285.9063,416,237.2691956,184.0000153,163.6290131,412.299
1552.887939,1654.102051,1308915.625,304354.8125,0.178244695,0.235783964,3031808.5,856796.8125,555689792,157650608,525185.1875,115582.4453,420.5,237.3039856,184.0000153,162.8234558,412.2805
1553.018677,1654.102051,1305805.25,304354.8125,0.179669634,0.235783964,3064480.5,864240.25,561565888,159020208,532341,117878.9766,425,237.3214264,184.0000153,162.236496,412.262
1511.859741,1610.536011,1304735.875,296338.5938,0.173564002,0.235640809,3071723,865850.8125,562870656,159316544,533862.0625,118375.4844,426,237.7712402,183.9999847,162.119339,412.2435
1511.655029,1610.536011,1302180.375,296338.5938,0.175507516,0.235640809,3093421,870682.375,566777152,160205568,538480.8125,119865,429,237.9083862,183.9999847,161.8993683,412.225
1511.657471,1610.536011,1301770.625,296338.5938,0.175829232,0.235640809,3097036.5,871487.6875,567428096,160353728,539252.125,120113.25,429.5,237.9269104,183.9999847,161.8640594,412.2065
1511.689575,1610.536011,1301270.125,296338.5938,0.17621845,0.235640809,3101554.5,872494.25,568241344,160538944,540218.625,120423.5625,430.125,237.9478455,183.9999847,161.8215637,412.188
1511.781982,1610.536011,1300517.5,296338.5938,0.176798731,0.235640809,3108611.25,874067.0625,569511424,160828336,541734.1875,120908.4297,431.1015625,237.9762421,183.9999847,161.7588348,412.1695
1511.962402,1610.536011,1299373.875,296338.5938,0.177668169,0.235640809,3119630.5,876524.5,571494080,161280512,544115,121666.0391,432.6274414,238.0149384,183.9999847,161.6687469,412.151
1511.994995,1610.536011,1299202.25,296338.5938,0.17779927,0.235640809,3121352.25,876908.5,571803840,161351168,544487.25,121784.4141,432.8658752,238.0206451,183.9999847,161.6548767,412.1325
1512.029907,1610.536011,1298977.25,296338.5938,0.177969947,0.235640809,3123504,877388.5,572190976,161439488,544953.125,121932.3828,433.1638794,238.0279083,183.9999847,161.6378174,412.114
1512.092285,1610.536011,1298630,296338.5938,0.17823185,0.235640809,3126865.5,878138.4375,572795712,161577472,545682.1875,122163.5859,433.6295471,238.0387573,183.9999847,161.611908,412.0955
